run_id,attempt,attempt_started_at,target_label,target_physical_area_m2,target_width_m,target_length_m,initial_altitude_m,success,physical_contact,landing_accepted,rpc_latch_success,termination_reason,failure_reason,error_type,error_message,total_flight_steps,agent1_prepare_steps,cooperative_landing_steps,total_flight_duration_s,handoff_step,handoff_time_s,terminal_steps,terminal_duration_s,total_reward,agent1_match_percent_full_flight,agent1_pred_percent_full_flight,agent1_lost_percent_full_flight,bottom_live_match_percent_full_flight,bottom_confirmed_match_percent_full_flight,bottom_live_match_percent_landing_phase,bottom_confirmed_match_percent_landing_phase,bottom_pred_percent_landing_phase,bottom_lost_percent_landing_phase,landing_xy_euclidean_error_m,landing_xy_error_source,collision_xy_threshold_m,center_error_norm_first,center_error_norm_mean,center_error_norm_median,center_error_norm_best,center_error_norm_final,bottom_similarity_mean,bottom_similarity_best,bottom_similarity_final,target_bbox_area_norm_first,target_bbox_area_norm_handoff,target_bbox_area_norm_mean,target_bbox_area_norm_max,target_bbox_area_norm_final,range_valid_percent,range_reliable_percent,minimum_range_m,median_range_m,maximum_reliable_range_spread_m,descent_steps,hold_steps,climb_steps,average_horizontal_speed_mps,maximum_horizontal_speed_mps,average_vertical_command_mps,maximum_descent_command_mps,maximum_climb_command_mps,contact_similarity,contact_corner_similarity,contact_similarity_margin,target_collision_object,target_collision_matches_expected,agent1_model_sha256,agent2_model_sha256,models_unchanged_after_attempt
20260805_120542,1,2026-08-05T12:05:43,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,140,74,66,91.78099999995902,55,79.93699999991804,12,11.844000000040978,8007.718969320311,98.57142857142857,1.4285714285714286,0.0,92.85714285714286,85.71428571428571,92.42424242424242,89.39393939393939,7.575757575757576,0.0,0.2287337056921204,collision_xy_combined,0.45,0.0,0.16544303897735885,0.10624369853594146,0.0,0.11114782040932678,0.8967587326121633,0.9884508848190308,0.7339515686035156,0.01986111111111111,0.18570229249328501,0.09136126378272232,0.186256834562076,0.186256834562076,92.42424242424242,78.78787878787878,0.07381944550001265,2.4730875768949137,0.23331527114951456,63,3,0,0.8887437637165937,1.6,0.1210335464741696,0.35,,0.7394548654556274,0.6416530013084412,0.09780186414718628,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,2,2026-08-05T12:07:15,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,136,68,68,90.48399999993853,56,77.6710000000894,13,12.812999999849126,8008.39884374162,99.26470588235294,0.7352941176470589,0.0,96.32352941176471,81.61764705882354,98.52941176470588,97.05882352941177,1.4705882352941178,0.0,0.0751331364670818,collision_xy_combined,0.45,0.0,0.13918799853018873,0.09036750473426827,0.0,0.13162047150053288,0.9069633888405499,0.9890015125274658,0.7383593320846558,0.01087818287037037,0.2244683890249285,0.0963758004211711,0.2277057442124169,0.2277057442124169,95.58823529411765,75.0,0.06229263191462154,2.3344519547953015,0.23903550102109516,65,3,0,1.1225133593540342,1.6,0.11984235349933012,0.35,,0.7364811301231384,0.6736998558044434,0.06278127431869507,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,3,2026-08-05T12:08:45,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,134,66,68,89.15599999995902,58,77.73400000017136,11,11.421999999787658,8007.16612029172,100.0,0.0,0.0,97.01492537313433,82.08955223880596,100.0,98.52941176470588,0.0,0.0,0.23646867630126653,collision_xy_combined,0.45,0.0,0.15900016974641445,0.09160150635539105,0.0,0.0761873920765093,0.9080632638890874,0.9870169758796692,0.8646831512451172,0.015190972222222222,0.21623100787003313,0.09430544359416669,0.21753281147580614,0.21753281147580614,88.23529411764706,77.94117647058823,0.10963021071443467,2.5389376845200817,0.24865708616989846,67,1,0,1.068915561141709,1.6,0.11963350263259866,0.35,,0.8708915710449219,0.714631199836731,0.15626037120819092,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,4,2026-08-05T12:10:14,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,114,50,64,77.625,55,66.90600000019185,10,10.718999999808148,8008.465580261008,100.0,0.0,0.0,95.6140350877193,84.21052631578948,100.0,98.4375,0.0,0.0,0.049817006029523304,collision_xy_combined,0.45,0.0,0.13563888745677805,0.10837685399359809,0.0,0.057711007425675906,0.9064931385777708,0.9858989715576172,0.8468489050865173,0.015635127314814815,0.1770747912624662,0.08837316504129779,0.1775364785748156,0.1775364785748156,87.5,84.375,0.0926050340749809,2.5759698860074645,0.24460233968532163,60,4,0,1.0249859866612665,1.6,0.1271161524928175,0.35,,0.8468489050865173,0.7169002294540405,0.1299486756324768,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,5,2026-08-05T12:11:32,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,119,50,69,80.79700000002049,56,67.54700000002049,14,13.25,8006.97574016253,100.0,0.0,0.0,89.07563025210084,74.78991596638656,88.40579710144928,78.26086956521739,11.594202898550725,0.0,0.24993771400858672,collision_xy_combined,0.45,0.0,0.2230001259513234,0.11627135986732126,0.0,0.4319624471507411,0.8885071254515505,0.9868998527526855,0.6290172338485718,0.02157841435185185,0.2080763457555804,0.09310827658124744,0.2089643179009181,0.12769777225190881,86.95652173913044,81.15942028985508,0.061311562949861426,2.281076844676343,0.22096597324358935,60,9,0,1.0196070020749453,3.0481364616639497,0.11293107568029909,0.35,,0.705564022064209,0.5192134976387024,0.1863505244255066,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,6,2026-08-05T12:12:53,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,115,49,66,79.34400000004098,58,68.01600000006147,9,11.327999999979511,8008.3811124520635,100.0,0.0,0.0,94.78260869565217,75.65217391304348,95.45454545454545,93.93939393939394,4.545454545454546,0.0,0.2380827234344737,collision_xy_combined,0.45,0.0,0.20214854688212205,0.10873410174060527,0.0,0.7047456730671108,0.9058177124392698,0.9867366552352905,0.6674073934555054,0.015625,0.2217023160545075,0.09424416178640667,0.22253199881142455,0.07456126354569682,93.93939393939394,92.42424242424242,0.06976021827591067,2.3687725762775136,0.20636373383643813,65,1,0,1.0082561141266428,1.6,0.12149476527716174,0.35,,0.6324969530105591,0.6034078598022461,0.02908909320831299,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,7,2026-08-05T12:14:12,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,133,66,67,88.39000000013039,58,77.59400000004098,10,10.796000000089407,8008.424222416344,97.74436090225564,2.255639097744361,0.0,93.98496240601504,86.46616541353383,97.01492537313433,92.53731343283582,2.985074626865672,0.0,0.0649409470483135,collision_xy_combined,0.45,0.0,0.11747304119931265,0.08069084014194083,0.0,0.07982260545139692,0.905271100524062,0.9862824082374573,0.8185684680938721,0.026432291666666666,0.2057448566509693,0.09568123422359141,0.2067098577788898,0.2067098577788898,89.55223880597015,73.13432835820896,0.09934442569147543,2.488331992661672,0.21385180439816143,64,3,0,1.0415388820802918,1.6,0.11615742535733464,0.35,,0.8185683488845825,0.7533031105995178,0.0652652382850647,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,8,2026-08-05T12:15:40,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,134,65,69,89.06300000008196,57,76.25,13,12.813000000081956,8008.703901402133,99.25373134328358,0.746268656716418,0.0,95.5223880597015,80.59701492537313,97.10144927536231,95.65217391304348,2.898550724637681,0.0,0.09912851405046748,collision_xy_combined,0.45,0.0,0.16258357841588064,0.08621198787291298,0.0,0.3383321339540256,0.9080706660326936,0.9855962991714478,0.7154122591018677,0.016059027777777776,0.21064511345912587,0.09678486535682977,0.21194804582193716,0.17400326085362058,92.7536231884058,84.05797101449275,0.0746111038242409,2.227969560531677,0.24775508915546451,65,4,0,0.9896601225055673,1.6,0.10889056361131907,0.35,,0.7154123187065125,0.7381124496459961,-0.022700130939483643,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,9,2026-08-05T12:17:10,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,119,50,69,80.28100000019185,60,69.73500000010245,10,10.546000000089407,8007.061355100686,100.0,0.0,0.0,95.7983193277311,75.63025210084034,98.55072463768116,97.10144927536231,1.4492753623188406,0.0,0.09811937391656832,collision_xy_combined,0.45,0.0,0.18645031500653883,0.11097166018788329,0.0,0.20341304283489234,0.9060895399774167,0.9865490198135376,0.7261726260185242,0.021527777777777778,0.20290989216148267,0.09873365054908731,0.20320494813428416,0.20320494813428416,94.20289855072464,85.5072463768116,0.08782793749146288,2.2177833553881703,0.23263587784053197,66,3,0,1.069212531548085,1.6,0.11507179405810174,0.35,,0.7261726260185242,0.634216845035553,0.09195578098297119,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_120542,10,2026-08-05T12:18:30,BMW_X6M_Scale_0.90_Z2.5,,,,4.56,1,1,1,1,landing_collision_success,,,,135,66,69,89.68799999984913,57,76.5319999998901,13,13.155999999959022,8007.490664667841,99.25925925925925,0.7407407407407407,0.0,96.29629629629629,82.96296296296296,97.10144927536231,94.20289855072464,2.898550724637681,0.0,0.16295964685310227,collision_xy_combined,0.45,0.0,0.17917123264103105,0.09961666885567554,0.0,0.7780536859979055,0.9054879924931127,0.9892500638961792,0.7090592384338379,0.012838541666666667,0.2007472657861938,0.09101927301542759,0.20177939478043871,0.050093080731835306,92.7536231884058,76.81159420289855,0.08216593760115193,2.458108162482075,0.22106330786092343,66,3,0,1.014381626909103,1.6,0.1167368688877078,0.35,,0.5763372778892517,0.6049678921699524,-0.028630614280700684,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
